Unnamed: 0,"Ogółem
Grand total",Unnamed: 2,"z podatków pośrednich
indirect tax revenue",Unnamed: 4,"z podatku od towarów i usług (VAT)
Value added tax (VAT) revenue",Unnamed: 6,"z podatku akcyzowego
excise tax revenue",Unnamed: 8,"z podatku dochodowego od osób prawnych
corporate income tax revenue",Unnamed: 10,"z podatku dochodowego od osób fizycznych
personal 
income tax revenue",Unnamed: 12,"z podatku od niektórych instytucji finansowych
On certain financial institutions tax revenue",Unnamed: 14,"z dywidend i wpłyów z zysku
dividends and income from profit revenue",Unnamed: 16,"z wpłat z zysku Narodowego Banku Polskiego
payments from profit of the National Bank of Poland revenue",Unnamed: 18,"z wpłyów z cła 
receipts from customs duties revenue",Unnamed: 20,"dochody państwowych jednostek budżetowych i inne dochody niepodatkowe  
revenue of state budgetary units and other non-tax revenue  ",Unnamed: 22,"środki z Unii Europejskiej i innych źródeł niepodlegające zwrotowi  
non-returnable funds from the European Union and other sources",Unnamed: 24,"Ogółem
Grand total.1",Unnamed: 26,"ubezpieczenia społeczne
social security contributions",Unnamed: 28,"subwencja ogólna dla jednostek samorządu terytorialnego
general subsidy for local government units",Unnamed: 30,"wydatki bieżące jednostek budżetowych
current expenditure of budgetary units",Unnamed: 32,"wydatki majątkowe
property expenditure",Unnamed: 34,"obsługa długu Skarbu Państwa
State Treasure debt service",Unnamed: 36,"środki własne 
Unii Europejskiej European Union own resources",Unnamed: 38,"współfinansowanie projektów z udziałem środków Unii Europejskiej 
co-financing of projects with the participation of the European Union funds",Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,"miliony PLN
million PLN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 M01-11,260292.5,,173387.4,,116264.3,,55993.4,,21408.3,,38740.2,, -   ,,4159.5,, -   ,,2223.7,,15693.2,,1128.4,,285083.1,,65622.1,,50162.1,,51218.7,,9083.2,,33228.6,,15879.8,,8216.0,,-24790.7,,1706.3,
2014 M01-12,283542.7,,187067.4,,124262.2,,61570.4,,23266.2,,43022.0,, -   ,,4213.5,, -   ,,2440.7,,18149.5,,1529.9,,312519.5,,69148.8,,51203.6,,60030.3,,15253.9,,34455.9,,17259.9,,8830.4,,-28976.8,,-3359.1,
2015 M01,28115.7,,19417.5,,14777.0,,4529.1,,2215.5,,4402.1,, -   ,,516.9,, -   ,,200.0,,1188.5,,9.5,,28702.7,,8215.2,,7070.1,,3397.9,,79.7,,3759.1,,1518.2,,658.0,,-586.9,,9497.6,
2015 M01-02,47158.8,,31058.5,,21944.4,,8888.3,,4111.5,,7477.6,, -   ,,525.9,, -   ,,450.2,,3105.1,,18.3,,58482.9,,14985.7,,14123.8,,9072.1,,511.9,,4635.4,,5143.4,,1431.1,,-11324.0,,6131.0,
2015 M01-03,67825.3,,42844.6,,28453.1,,14050.9,,8449.1,,9720.0,, -   ,,600.4,, -   ,,715.4,,4750.3,,37.4,,84485.4,,21992.4,,18091.1,,14554.6,,1032.4,,6318.5,,6739.8,,2196.5,,-16660.1,,-2706.0,
2015 M01-04,96077.7,,60294.5,,40739.8,,19087.5,,11403.2,,14349.4,, -   ,,1632.3,, -   ,,959.9,,6314.5,,68.0,,112770.8,,28940.4,,22059.0,,19264.0,,1467.5,,10918.3,,8310.5,,2886.3,,-16693.1,,-7885.8,
2015 M01-05,116283.4,,74142.9,,49583.1,,23988.9,,12888.5,,17447.4,, -   ,,2002.2,, -   ,,1160.5,,7213.6,,88.8,,135914.6,,34654.7,,26125.9,,24059.5,,2062.9,,11550.3,,9885.7,,3529.9,,-19631.1,,-7315.3,
2015 M01-06,137023,,88213.4,,57891.8,,29631.6,,13523.3,,20361.4,, -   ,,2293.1,, -   ,,1369.1,,8952.1,,479.0,,163162.8,,40881.0,,30190.5,,28578.4,,6292.3,,12508.6,,11037.7,,4342.4,,-26139.8,,-8732.3,
2015 M01-07,163479.4,,106760.3,,70798.0,,35173.2,,15546.4,,23968.9,, -   ,,2670.8,, -   ,,1602.0,,10303.3,,510.0,,190071.1,,46833.2,,34281.2,,33280.8,,7118.8,,17525.9,,11734.4,,4945.4,,-26591.6,,-7597.7,
2015 M01-08,187237.5,,121973.7,,80331.0,,40747.2,,17294.5,,28018.9,, -   ,,3841.1,, -   ,,1846.0,,11043.0,,826.0,,213097.9,,53877.3,,38313.0,,37783.6,,7964.8,,17852.1,,12864.0,,5455.3,,-25860.4,,-9259.7,
